,Seed,Learning Rate,Batch Size,Val CE,Val Accuracy,Val F1,Test CE,Test Accuracy,Test F1,Fine Tuning Time(m),Test Labeling Time(m),classification_report
0,5768,0.0001,32,7.7073017588028545,0.9643275996872557,0.9672410309095117,11.595527313211385,0.9548941747947106,0.9614366409877684,1.7662320057551066,0.042829243342081706,"              precision    recall  f1-score   support

         LOC     0.6015    0.8000    0.6867       300
         ORG     0.4181    0.8499    0.5605       553
         PER     0.8638    0.7762    0.8177       286

   micro avg     0.5236    0.8183    0.6386      1139
   macro avg     0.6278    0.8087    0.6883      1139
weighted avg     0.5783    0.8183    0.6583      1139
"
0,5768,0.0001,16,8.172706785110327,0.9579749804534793,0.9611493204266848,5.0903716189238954,0.9520027757430896,0.9586102061287388,1.8777289867401123,0.04714948733647664,"              precision    recall  f1-score   support

         LOC     0.5973    0.7467    0.6637       300
         ORG     0.3969    0.8282    0.5366       553
         PER     0.7557    0.9301    0.8339       286

   micro avg     0.5040    0.8323    0.6278      1139
   macro avg     0.5833    0.8350    0.6781      1139
weighted avg     0.5398    0.8323    0.6447      1139
"
0,5768,0.0001,8,2.2232724249947307,0.9373534010946052,0.9456179006774889,2.610123233028032,0.9299510389760592,0.9431711639381716,2.182931347688039,0.05067299604415894,"              precision    recall  f1-score   support

         LOC     0.5228    0.7267    0.6081       300
         ORG     0.2815    0.7667    0.4119       553
         PER     0.7898    0.9196    0.8498       286

   micro avg     0.4012    0.7946    0.5331      1139
   macro avg     0.5314    0.8043    0.6232      1139
weighted avg     0.4727    0.7946    0.5735      1139
"
0,5768,1e-05,32,5.523829936981201,0.947615324472244,0.9531655519233343,8.626154569142004,0.9403986275492502,0.9502380942431793,1.7858814517656962,0.04297579924265544,"              precision    recall  f1-score   support

         LOC     0.4841    0.7600    0.5914       300
         ORG     0.3473    0.7631    0.4774       553
         PER     0.7809    0.8846    0.8295       286

   micro avg     0.4493    0.7928    0.5735      1139
   macro avg     0.5374    0.8026    0.6328      1139
weighted avg     0.4922    0.7928    0.5958      1139
"
0,5768,1e-05,16,2.827000998533689,0.9599296325254105,0.9630604734247632,4.648101728738231,0.9514244959327653,0.9581072672822868,1.8911959926287334,0.047079964478810625,"              precision    recall  f1-score   support

         LOC     0.5253    0.7600    0.6213       300
         ORG     0.4221    0.8282    0.5592       553
         PER     0.7638    0.9161    0.8331       286

   micro avg     0.5091    0.8323    0.6318      1139
   macro avg     0.5704    0.8348    0.6712      1139
weighted avg     0.5351    0.8323    0.6443      1139
"
0,5768,1e-05,8,1.7790043858774738,0.96647771696638,0.968815637090152,2.300502565075402,0.9571301900612976,0.9625896112068103,2.212385857105255,0.05086727539698283,"              precision    recall  f1-score   support

         LOC     0.5901    0.7533    0.6618       300
         ORG     0.4537    0.8409    0.5894       553
         PER     0.7878    0.9476    0.8603       286

   micro avg     0.5491    0.8446    0.6655      1139
   macro avg     0.6105    0.8473    0.7038      1139
weighted avg     0.5735    0.8446    0.6765      1139
"
0,5768,1e-06,32,22.178806213232185,0.2860633307271306,0.36936889821600427,25.997180749388303,0.2895254250356606,0.3951683051358845,1.7727245251337687,0.04298481543858846,"              precision    recall  f1-score   support

         LOC     0.0545    0.4333    0.0968       300
         ORG     0.0137    0.2622    0.0261       553
         PER     0.0821    0.1538    0.1071       286

   micro avg     0.0237    0.2801    0.0437      1139
   macro avg     0.0501    0.2831    0.0766      1139
weighted avg     0.0416    0.2801    0.0650      1139
"
0,5768,1e-06,16,6.585878587686098,0.7184323690383112,0.7828567084518664,8.248409543843831,0.7483711785342534,0.8167995137782654,1.9153257608413696,0.04773916800816854,"              precision    recall  f1-score   support

         LOC     0.1534    0.5767    0.2423       300
         ORG     0.0726    0.5027    0.1268       553
         PER     0.2897    0.6573    0.4021       286

   micro avg     0.1139    0.5610    0.1894      1139
   macro avg     0.1719    0.5789    0.2571      1139
weighted avg     0.1484    0.5610    0.2264      1139
"
0,5768,1e-06,8,2.3716066374498257,0.8577990617670055,0.8835461029870083,3.085326694228031,0.8682293072207873,0.8984882408513634,2.240188674132029,0.05139524936676025,"              precision    recall  f1-score   support

         LOC     0.2668    0.5833    0.3661       300
         ORG     0.1580    0.5986    0.2500       553
         PER     0.4821    0.8007    0.6018       286

   micro avg     0.2278    0.6453    0.3368      1139
   macro avg     0.3023    0.6609    0.4060      1139
weighted avg     0.2680    0.6453    0.3689      1139
"
0,78516,0.0001,32,7.0784523750726995,0.9582681782642689,0.9618608451229588,8.924881182172719,0.9480319210455299,0.955935520661605,1.7574836015701294,0.04304600954055786,"              precision    recall  f1-score   support

         LOC     0.5376    0.7633    0.6309       300
         ORG     0.3817    0.8137    0.5196       553
         PER     0.8537    0.8566    0.8551       286

   micro avg     0.4884    0.8112    0.6097      1139
   macro avg     0.5910    0.8112    0.6685      1139
weighted avg     0.5412    0.8112    0.6332      1139
"
